Model,MAE,RMSE,R2 Score
Linear Regression,0.45239200896259707,1.804444509272284,0.7696495724907312
Gradient Boosting,0.7897581126881539,1.9473741312887662,0.7317123053708086
Random Forest,1.0796520423600606,2.1588578920072523,0.6702763705834445
